Pixel Count,Kernel Size,Clusters,Threads,Serial Time,Multithreaded Time,Distributed Time,Shared Time,Task Pool Time
25672152,3,1,10,0.256775,-1.000000,-1.000000,-1.000000,-1.000000
25672152,3,1,10,0.248156,-1.000000,-1.000000,-1.000000,-1.000000
25672152,3,1,10,0.251172,-1.000000,-1.000000,-1.000000,-1.000000
25672152,3,1,10,0.249414,-1.000000,-1.000000,-1.000000,-1.000000
25672152,3,1,10,0.247553,-1.000000,-1.000000,-1.000000,-1.000000
25672152,5,1,10,0.620833,-1.000000,-1.000000,-1.000000,-1.000000
25672152,5,1,10,0.618257,-1.000000,-1.000000,-1.000000,-1.000000
64000000,3,1,10,0.638015,-1.000000,-1.000000,-1.000000,-1.000000
64000000,3,1,10,0.617939,-1.000000,-1.000000,-1.000000,-1.000000
64000000,3,1,10,0.653435,-1.000000,-1.000000,-1.000000,-1.000000
64000000,3,1,10,0.620564,-1.000000,-1.000000,-1.000000,-1.000000
64000000,3,1,10,0.621624,-1.000000,-1.000000,-1.000000,-1.000000
64000000,5,1,10,1.564473,-1.000000,-1.000000,-1.000000,-1.000000
64000000,5,1,10,1.547987,-1.000000,-1.000000,-1.000000,-1.000000
211680000,3,1,10,2.439788,-1.000000,-1.000000,-1.000000,-1.000000
211680000,3,1,10,2.137302,-1.000000,-1.000000,-1.000000,-1.000000
211680000,3,1,10,2.123834,-1.000000,-1.000000,-1.000000,-1.000000
211680000,3,1,10,2.047749,-1.000000,-1.000000,-1.000000,-1.000000
211680000,3,1,10,2.054166,-1.000000,-1.000000,-1.000000,-1.000000
211680000,5,1,10,5.124642,-1.000000,-1.000000,-1.000000,-1.000000
211680000,5,1,10,5.121581,-1.000000,-1.000000,-1.000000,-1.000000
25672152,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.122953
25672152,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.103951
25672152,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.096623
25672152,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.093082
25672152,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.091290
25672152,5,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.220650
25672152,5,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.150535
64000000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.229320
64000000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.226173
64000000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.226957
64000000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.227046
64000000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.229877
64000000,5,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.373267
64000000,5,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.402020
211680000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.770583
211680000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.782373
211680000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.750772
211680000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.829762
211680000,3,8,8,-1.000000,-1.000000,-1.000000,-1.000000,0.902720
211680000,5,8,8,-1.000000,-1.000000,-1.000000,-1.000000,1.287595
211680000,5,8,8,-1.000000,-1.000000,-1.000000,-1.000000,1.263868
25672152,3,8,8,0.292576,0.167324,0.206885,0.090409,0.092267
25672152,3,8,8,0.299696,0.152385,0.239339,0.092381,0.090754
25672152,3,8,8,0.285057,0.136318,0.273026,0.094740,0.090982
25672152,3,8,8,0.283524,0.156414,0.098447,0.096507,0.090830
25672152,3,8,8,0.300565,0.158416,0.130591,0.104704,0.090898
25672152,5,8,8,0.760950,0.306334,0.211012,0.146684,0.144273
25672152,5,8,8,0.779074,0.224462,0.172239,0.146879,0.159726
64000000,3,8,8,0.862570,0.404979,0.425898,0.235078,0.231554
64000000,3,8,8,0.725219,0.497085,0.383965,0.230567,0.266298
64000000,3,8,8,0.708845,0.386648,0.308195,0.233185,0.229098
64000000,3,8,8,0.820734,0.401864,0.348543,0.234831,0.230583
64000000,3,8,8,0.803744,0.394762,0.282232,0.249132,0.228987
64000000,5,8,8,1.850193,0.651077,0.414971,0.377887,0.370668
64000000,5,8,8,1.962811,0.645087,0.426873,0.370132,0.363916
211680000,3,8,8,2.655329,1.353679,1.230684,0.857079,0.752345
211680000,3,8,8,2.297227,1.320858,0.853627,0.854688,0.760811
211680000,3,8,8,2.335201,1.324195,0.884219,0.752769,0.824525
211680000,3,8,8,2.331939,1.318907,0.831051,0.781307,0.756559
211680000,3,8,8,2.386571,1.411074,0.856737,0.798913,0.836329
211680000,5,8,8,5.716508,2.249738,1.545287,1.219627,1.218912
211680000,5,8,8,5.668551,2.211615,1.299916,1.209517,1.280169
